TSLA,Date,Close
TSLA,5/11/2016,208.96
TSLA,5/12/2016,207.28
TSLA,5/13/2016,207.61
TSLA,5/16/2016,208.29
TSLA,5/17/2016,204.66
TSLA,5/18/2016,211.17
TSLA,5/19/2016,215.21
TSLA,5/20/2016,220.28
TSLA,5/23/2016,216.22
TSLA,5/24/2016,217.91
TSLA,5/25/2016,219.58
TSLA,5/26/2016,225.12
TSLA,5/27/2016,223.04
TSLA,5/31/2016,223.23
TSLA,6/1/2016,219.56
TSLA,6/2/2016,218.96
TSLA,6/3/2016,218.99
TSLA,6/6/2016,220.68
TSLA,6/7/2016,232.34
TSLA,6/8/2016,235.52
TSLA,6/9/2016,229.36
TSLA,6/10/2016,218.79
TSLA,6/13/2016,217.87
TSLA,6/14/2016,214.96
TSLA,6/15/2016,217.7
TSLA,6/16/2016,217.93
TSLA,6/17/2016,215.47
TSLA,6/20/2016,219.7
TSLA,6/21/2016,219.61
TSLA,6/22/2016,196.66
TSLA,6/23/2016,196.4
TSLA,6/24/2016,193.15
TSLA,6/27/2016,198.55
TSLA,6/28/2016,201.79
TSLA,6/29/2016,210.19
TSLA,6/30/2016,212.28
TSLA,7/1/2016,216.5
TSLA,7/5/2016,213.98
TSLA,7/6/2016,214.44
TSLA,7/7/2016,215.94
TSLA,7/8/2016,216.78
TSLA,7/11/2016,224.78
TSLA,7/12/2016,224.65
TSLA,7/13/2016,222.53
TSLA,7/14/2016,221.53
TSLA,7/15/2016,220.4
TSLA,7/18/2016,226.25
TSLA,7/19/2016,225.26
TSLA,7/20/2016,228.36
TSLA,7/21/2016,220.5
TSLA,7/22/2016,222.27
TSLA,7/25/2016,230.01
TSLA,7/26/2016,229.51
TSLA,7/27/2016,228.49
TSLA,7/28/2016,230.61
TSLA,7/29/2016,234.79
TSLA,8/1/2016,230.01
TSLA,8/2/2016,227.2
TSLA,8/3/2016,225.79
TSLA,8/4/2016,230.61
TSLA,8/5/2016,230.03
TSLA,8/8/2016,226.16
TSLA,8/9/2016,229.08
TSLA,8/10/2016,225.65
TSLA,8/11/2016,224.91
TSLA,8/12/2016,225.61
TSLA,8/15/2016,225.59
TSLA,8/16/2016,223.61
TSLA,8/17/2016,223.24
TSLA,8/18/2016,223.51
TSLA,8/19/2016,225
TSLA,8/22/2016,222.93
TSLA,8/23/2016,224.84
TSLA,8/24/2016,222.62
TSLA,8/25/2016,220.96
TSLA,8/26/2016,219.99
TSLA,8/29/2016,215.2
TSLA,8/30/2016,211.34
TSLA,8/31/2016,212.01
TSLA,9/1/2016,200.77
TSLA,9/2/2016,197.78
TSLA,9/6/2016,202.83
TSLA,9/7/2016,201.71
TSLA,9/8/2016,197.36
TSLA,9/9/2016,194.47
TSLA,9/12/2016,198.3
TSLA,9/13/2016,196.05
TSLA,9/14/2016,196.41
TSLA,9/15/2016,200.42
TSLA,9/16/2016,205.4
TSLA,9/19/2016,206.34
TSLA,9/20/2016,204.64
TSLA,9/21/2016,205.22
TSLA,9/22/2016,206.43
TSLA,9/23/2016,207.45
TSLA,9/26/2016,208.99
TSLA,9/27/2016,205.81
TSLA,9/28/2016,206.27
TSLA,9/29/2016,200.7
TSLA,9/30/2016,204.03
TSLA,10/3/2016,213.7
TSLA,10/4/2016,211.41
TSLA,10/5/2016,208.46
TSLA,10/6/2016,201
TSLA,10/7/2016,196.61
TSLA,10/10/2016,200.95
TSLA,10/11/2016,200.1
TSLA,10/12/2016,201.51
TSLA,10/13/2016,200.24
TSLA,10/14/2016,196.51
TSLA,10/17/2016,193.96
TSLA,10/18/2016,199.1
TSLA,10/19/2016,203.56
TSLA,10/20/2016,199.1
TSLA,10/21/2016,200.09
TSLA,10/24/2016,202.76
TSLA,10/25/2016,202.34
TSLA,10/26/2016,202.24
TSLA,10/27/2016,204.01
TSLA,10/28/2016,199.97
TSLA,10/31/2016,197.73
TSLA,11/1/2016,190.79
TSLA,11/2/2016,188.02
TSLA,11/3/2016,187.42
TSLA,11/4/2016,190.56
TSLA,11/7/2016,193.21
TSLA,11/8/2016,194.94
TSLA,11/9/2016,190.06
TSLA,11/10/2016,185.35
TSLA,11/11/2016,188.56
TSLA,11/14/2016,181.45
TSLA,11/15/2016,183.77
TSLA,11/16/2016,183.93
TSLA,11/17/2016,188.66
TSLA,11/18/2016,185.02
TSLA,11/21/2016,184.52
TSLA,11/22/2016,191.17
TSLA,11/23/2016,193.14
TSLA,11/25/2016,196.65
TSLA,11/28/2016,196.12
TSLA,11/29/2016,189.57
TSLA,11/30/2016,189.4
TSLA,12/1/2016,181.88
TSLA,12/2/2016,181.47
TSLA,12/5/2016,186.8
TSLA,12/6/2016,185.85
TSLA,12/7/2016,193.15
TSLA,12/8/2016,192.29
TSLA,12/9/2016,192.18
TSLA,12/12/2016,192.43
TSLA,12/13/2016,198.15
TSLA,12/14/2016,198.69
TSLA,12/15/2016,197.58
TSLA,12/16/2016,202.49
TSLA,12/19/2016,202.73
TSLA,12/20/2016,208.79
TSLA,12/21/2016,207.7
TSLA,12/22/2016,208.45
TSLA,12/23/2016,213.34
TSLA,12/27/2016,219.53
